Bill Stewart [1747]: (0.4741502595888519, 0.965625650775294) -- 3
Dirk Koetter [1036]: (0.4778807194526232, 0.8585759204797964) -- 5
Karl Dorrell [513]: (0.47881707295369624, 0.8595122739808694) -- 5
Glen Mason [1163]: (0.4804660668586809, 0.861161267885854) -- 5
Joe Tiller [1840]: (0.4813980262137677, 0.8031441951166111) -- 7
James Franklin [647]: (0.4890944876865951, 0.9805698788730373) -- 3
Tom O'Brien [1384]: (0.49969231187893637, 0.7688844700904264) -- 10
Larry Coker [332]: (0.5039908228340625, 0.8257369917369058) -- 7
Chan Gailey [669]: (0.5048900845806459, 0.8524156664748903) -- 6
Mike Bellotti [113]: (0.5073912990342929, 0.8291374679371363) -- 7
Mark Helfrich [822]: (0.5103698258976466, 1.3616301741023535) -- 1
Lane Kiffin [1002]: (0.5108378336600828, 0.891533034687256) -- 5
Steve Sarkisian [1618]: (0.5161396851323791, 0.8968348861595522) -- 5
Charlie Strong [1779]: (0.5178608028477579, 0.8985560038749311) -- 5
Ralph Friedgen [654]: (0.5220953710535507, 0.8058488204551197) -- 9
Dan Mullen [1324]: (0.522583847187445, 0.9032790482146181) -- 5
Mark Dantonio [433]: (0.5325188942089221, 0.8017110524204121) -- 10
Houston Nutt [1380]: (0.5353133798623734, 0.8190668292639424) -- 9
Bill Snyder [1716]: (0.5369777598828088, 0.8207312092843778) -- 9
Rich Rodriguez [1573]: (0.5380647105260699, 0.7947293626990064) -- 11
Mike Leach [1079]: (0.5391736560557855, 0.8083658142672755) -- 10
Jeff Tedford [1819]: (0.5399924648134065, 0.796657116986343) -- 11
Bronco Mendenhall [1249]: (0.555517300476233, 0.839270749877802) -- 9
Tommy Bowden [168]: (0.5582231455075403, 0.8799693144103836) -- 7
Will Muschamp [1336]: (0.560275194115508, 1.05175058530195) -- 3
Gary Barnett [84]: (0.5633422782912196, 0.9889724523935732) -- 4
Kirk Ferentz [610]: (0.5643718339455261, 0.8101095295387473) -- 12
Jeff Jagodzinski [926]: (0.56458023610201, 1.16651220087278) -- 2
Barry Alvarez [25]: (0.5646155008906791, 0.9453107019178523) -- 5
Jim Mora [1302]: (0.5657982452568915, 1.1677302100276614) -- 2
Kyle Whittingham [1969]: (0.5693421735148795, 0.8530956229164485) -- 9
Brian Kelly [985]: (0.575628562648435, 0.844820720859925) -- 10
Bret Bielema [136]: (0.5869520116887293, 0.9086981805915727) -- 7
Bobby Petrino [1455]: (0.5960095289629644, 0.8797629783645334) -- 9
Gus Malzahn [1146]: (0.5976681639560784, 1.1996001287268483) -- 2
Phillip Fulmer [664]: (0.6013051942241631, 0.9230513631270064) -- 7
Gary Pinkel [1467]: (0.616486540295724, 0.8622242358889451) -- 12
Dabo Swinney [1801]: (0.6222863545318461, 1.0029815555590194) -- 5
Mike Riley [1550]: (0.623152440828912, 0.8798170930018483) -- 11
Gary Patterson [1434]: (0.6301972129089601, 0.8759349085021813) -- 12
Bobby Bowden [166]: (0.63847970814771, 0.939445690533095) -- 8
Bo Pelini [1444]: (0.6402737379444836, 0.962019906847327) -- 7
Lloyd Carr [269]: (0.6514084523017847, 0.9989340341960291) -- 6
Tommy Tuberville [1867]: (0.6667049871536052, 0.9358971453650952) -- 10
Mike Gundy [740]: (0.6669873919439903, 0.9507408413455593) -- 9
Chris Petersen [1452]: (0.6722734479683377, 0.9732394303537226) -- 8
Steve Spurrier [1728]: (0.6731216277705151, 0.9568750771720841) -- 9
Jimbo Fisher [623]: (0.6763186152102156, 1.101948789312569) -- 4
Joe Paterno [1433]: (0.6781773440726435, 0.9619307934742125) -- 9
Frank Beamer [102]: (0.6927688510057368, 0.9385065465989579) -- 12
Mack Brown [204]: (0.6933679650404068, 0.9391056606336279) -- 12
David Shaw [1662]: (0.7048354182051437, 1.196310809391586) -- 3
Mark Richt [1548]: (0.7148059450781592, 0.9605436406713803) -- 12
Les Miles [1267]: (0.7344556858248141, 0.9801933814180352) -- 12
Nick Saban [1608]: (0.7356193946699723, 1.0048115528814623) -- 10
Chip Kelly [986]: (0.7456463463026526, 1.171276520405006) -- 4
Jim Tressel [1862]: (0.7654139920924592, 1.0491674414940282) -- 9
Urban Meyer [1259]: (0.7722805571625757, 1.028945209335512) -- 11
Bob Stoops [1768]: (0.7804105489977209, 1.026148244590942) -- 12
Pete Carroll [270]: (0.7893910443361889, 1.0903570267215739) -- 8
